| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            | AR      | ASJC                           | AUTHID                                                                           | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST       | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | C3                             |   CA | CL              | CONCEPT_NORM                   | CONCEPT_RAW                    | CORRESPOND_ADDR                | CT                             | CTRY                           | CTRY_FIRST     | CTRY_ISO3          | CTRY_ISO3_FIRST   | CY              | DA         | DATABASE   | DATE       | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DL                             | DOCTYPE                    | DOI                            | EA       | EID                 | EMAIL                          | FP                             | FUND_DET                       | FUND_TXT                       | GA    | GCR_WOS_FORMAT                 |   GCS |   HC |   HO |   HP | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISSN      | ISSNE     | ISSUE   | KW_NORM                        | KW_TOK                         | LANG    | LCR_WOS_FORMAT                 |   LCS | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORCID                                                                            | ORG                                                                              | ORG_FIRST                      |   PG_COUNT |   PG_FIRST |   PG_LAST |            PM | PN   | PUBLISHER                      | PUBLISHER_ADDRESS              | PUBLISHER_CITY   | PUBTYPE   | REC_ID                                             |   REC_NO | REC_SHORT_NAME        | REGION                | SI   | SP                    | SRC                            | SRC_ISO4                       | SRC_J9               |   SU | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   VOL | WE                             | WORD_NORM                      | WORD_RAW                       | WOS_SC                         |   WOS_U1 |   WOS_U2 |   WOS_Z9 |   YEAR |
| The relationship between Lean  | the relationship between lean  | the_relationship_between LEAN_ | Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sci, Ave Charro 450 North Co | 141453  | Green & Sustainable Science &  | García-Alcaraz, Jorge Luis/N-9124-2013; Díaz-Reza, José Roberto/AAE-4755-2021; S | social sustainability; lean ma | social sustainability; lean ma | social sustainability; lean ma | Díaz-Reza JR     | Jose Roberto Diaz-Reza; S. Hoo | Díaz-Reza JR; Mousavi SH; Sánc | Díaz-Reza JR; Mousavi SH; Sánc | [Diaz-Reza, Jose Roberto] Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sc | Universidad Autonoma de Ciudad |  nan | nan             | area; business environments; c | area; business environments; c | García-Alcaraz, JL (correspond | nan                            | Iran; Mexico                   | Mexico         | IRN; MEX           | MEX               | nan             | 2026-04-25 | WoS        | APR 5      | alterations; architect; area;  | alterations; architect; area;  | http://dx.doi.org/10.1016/j.jc | Article                    | 10.1016/j.jclepro.2024.141453  | MAR 2024 | WOS:001218809000001 | inv.pos07@uacj.mx; h.mousavi@m | Universidad Autonoma de Ciudad | Universidad Autonoma de Ciudad | Jose Roberto Diaz Reza is rece | QC9Y2 | Afum E, 2023, J ENG DES TECHNO |    22 |  nan |  nan |  nan | implementation; performance; c | implementation; performance; c | implementation; performance; c | 0959-6526 | 1879-1786 | nan     | changeover; impact; implementa | changeover; impact; implementa | English | nan                            |     0 | lean manufacturing; practices; | area; business environments; c | 411 responses; 5 s methodology | business environments; critica | social sustainability; lean ma |        4 |      87 |     nan | nan                            | García-Alcaraz, Jorge Luis/0000-0002-7092-6963; Díaz-Reza, José Roberto/0000-000 | K N TOOSI UNIV TECHNOL; UNIV AUTON CIUDAD JUAREZ; [UNKNOWN]                      | UNIV AUTON CIUDAD JUAREZ       |         17 |        nan |       nan | nan           | nan  | ELSEVIER SCI LTD               | 125 London Wall, London, ENGLA | London           | J         | Díaz-Reza JR, 2024, J CLEAN PROD, V448, DOI 10.101 |       10 | Díaz-Reza JR 2024     | Americas; Asia        | nan  | nan                   | JOURNAL OF CLEANER PRODUCTION  | J CLEAN PROD                   | J CLEAN PROD         |  nan | Latin America and The Caribbea | Achieving social sustainabilit | achieving social sustainabilit | achieving SOCIAL_SUSTAINABILIT |   448 | Science Citation Index Expande | alterations; architect; area;  | alterations; architect; area;  | Science & Technology - Other T |        5 |       38 |       28 |   2024 |
| Faculty members have different | faculty members have different | FACULTY_MEMBERS have different | Chung Ang Univ, Dept Educ, Seoul 156756, South Korea; Natl Cheng Kung Univ, Dept | nan     | Education & Educational Resear | Song, Hae Deok/HJY-0971-2023                                                     | stella software; adoption of w | stella software; adoption of w | stella software; adoption of w | Song HD          | Hae-Deok Song; Wei-Tsong Wang; | Song HD; Wang WT; Liu CY/1     | Song HD; Wang WT; Liu CY/1     | [Song, Hae-Deok] Chung Ang Univ, Dept Educ, Seoul 156756, South Korea; [Wang, We | Chung Ang University; National |  nan | nan             | administrators; adoption model | administrators; adoption model | Song, HD (corresponding author | nan                            | South Korea; Taiwan; United St | South Korea    | KOR; TWN; USA      | KOR               | nan             | 2026-04-25 | WoS        | JUL        | administrators; adoption; adop | administrators; adoption; adop | nan                            | Article                    | nan                            | nan      | WOS:000294410900012 | hsong@cau.ac.kr                | nan                            | nan                            | nan                            | 813ZT | Adams N.B., 2003, J RES TECHNO |     8 |  nan |  nan |  nan | technology integration         | technology integration         | technology integration         | 1436-4522 | nan       | 3       | adoption of wbi; faculty conce | adoption of wbi; faculty conce | English | nan                            |     0 | faculty members; technology; t | administrators; adoption model | administrators; adoption; asso | adoption model; decreases facu | simulation model; faculty conc |        3 |      31 |     nan | nan                            | nan                                                                              | CHUNG ANG UNIV; NATL CHENG K UNIV; [UNKNOWN]                                     | CHUNG ANG UNIV                 |         11 |        141 |       151 | nan           | nan  | IEEE COMPUTER SOC, LEARNING  T | BAG 11-222, MASSEY UNIVERSITY, | PALMERSTON NORTH | J         | Song HD, 2011, EDUC TECHNOL SOC, V14, P141         |       11 | Song HD 2011          | Americas; Asia        | SI   | nan                   | EDUCATIONAL TECHNOLOGY & SOCIE | EDUC TECHNOL SOC               | EDUC TECHNOL SOC     |  nan | Eastern Asia; Northern America | A Simulation Model that Decrea | a simulation model that decrea | a SIMULATION_MODEL that decrea |    14 | Social Science Citation Index  | administrators; adoption; aid; | administrators; adoption; aid; | Education & Educational Resear |        0 |       10 |       28 |   2011 |
| Reconstruction of disturbed wa | reconstruction of disturbed wa | RECONSTRUCTION of DISTURBED_WA | Univ Saskatchewan, Ctr Adv Numer Simulat, CANSIM, Dept Civil & Geol Engn, Saskat | nan     | Water Resources                | Jutla, Antarpreet/E-8881-2010; Elshorbagy, Amin/A-6274-2015                      | watershed modeling; system dyn | watershed modelling; system dy | watershed modeling; system dyn | Elshorbagy A     | Amin Elshorbagy; A. Jutla; J.  | Elshorbagy A; Jutla A; Kells J | Elshorbagy A; Jutla A; Kells J | Univ Saskatchewan, Ctr Adv Numer Simulat, CANSIM, Dept Civil & Geol Engn, Saskat | University of Saskatchewan; Un |  nan | Vienna, AUSTRIA | accuracy; alberta environment; | accuracy; alberta environment; | Elshorbagy, A (corresponding a | Annual Meeting of the European | Canada                         | Canada         | CAN                | CAN               | APR 02-04, 2006 | 2026-04-25 | WoS        | JUN        | accuracy; aid; alberta; albert | accuracy; aid; alberta; albert | http://dx.doi.org/10.1623/hysj | Article; proceedings paper | 10.1623/hysj.52.3.538          | nan      | WOS:000246889000011 | amin.elshorbagy@usask.ca       | nan                            | nan                            | nan                            | 173RA | Albright WH, 2004, J ENVIRON Q |    33 |  nan |  nan |  nan | yielding ephemeral catchments; | yielding ephemeral catchments; | yielding ephemeral catchments; | 0262-6667 | nan       | 3       | balance; cycle; final covers;  | balance; cycle; final covers;  | English | nan                            |     2 | reconstruction; disturbed wate | accuracy; alberta environment; | accuracy; alberta environment; | accuracy; alberta environment; | simulation; hydrological proce |        3 |      59 |     nan | Bronze                         | Jutla, Antarpreet/0000-0002-8191-2348; Elshorbagy, Amin/0000-0002-5740-8029      | UNIV SASK                                                                        | UNIV SASK                      |         25 |        538 |       562 | nan           | nan  | IAHS PRESS, INST HYDROLOGY     | C/O FRANCES WATKINS, WALLINGFO | WALLINGFORD      | J         | Elshorbagy A, 2007, HYDROLOG SCI J, V52, P538, DOI |       12 | Elshorbagy A 2007     | Americas              | nan  | European Geosci Union | HYDROLOGICAL SCIENCES JOURNAL- | HYDROL SCI J-J SCI HYDROL      | HYDROLOG SCI J       |  nan | Northern America               | Simulation of the hydrological | simulation of the hydrological | SIMULATION of the HYDROLOGICAL |    52 | Conference Proceedings Citatio | accuracy; aid; alberta; approa | accuracy; aid; alberta; approa | Water Resources                |        0 |       27 |       38 |   2007 |
| The municipal solid waste (MSW | the municipal solid waste ( ms | the MUNICIPAL_SOLID_WASTE ( ms | Natl Taipei Univ Technol, Inst Environm Engn & Management, Taipei 106, Taiwan; N | 118006  | Green & Sustainable Science &  | nan                                                                              | cost; energy; food waste; gree | cost; energy; food waste; gree | cost; energy; food waste; gree | Tseng CH         | Chao-Heng Tseng; Yi-Cheng Hsu; | Tseng CH; Hsu YC; Chen YC/1    | Tseng CH; Hsu YC; Chen YC/1    | [Tseng, Chao-Heng; Hsu, Yi-Cheng] Natl Taipei Univ Technol, Inst Environm Engn & | National Taipei University of  |  nan | nan             | anaerobic digestion; associate | anaerobic digestion; associate | Chen, YC (corresponding author | nan                            | Taiwan                         | Taiwan         | TWN                | TWN               | nan             | 2026-04-25 | WoS        | DEC 1      | anaerobic; anaerobic digestion | anaerobic; anaerobic digestion | http://dx.doi.org/10.1016/j.jc | Article                    | 10.1016/j.jclepro.2019.118006  | nan      | WOS:000487237100117 | ycchen@ntut.edu.tw             | Ministry of Science and Techno | Ministry of Science and Techno | The authors thank the Ministry | IZ7AO | [Anonymous], 2018, Internation |    28 |  nan |  nan |  nan | municipal; construction; gener | municipal; construction; gener | municipal; construction; gener | 0959-6526 | 1879-1786 | nan     | construction; cost; energy; fo | construction; cost; energy; fo | English | Ding ZK, 2016, WASTE MANAGE, V |     0 | municipal solid waste; food wa | anaerobic digestion; associate | anaerobic digestion; associate | anaerobic digestion; coffee gr | system dynamics modeling; wast |        3 |      40 |       2 | nan                            | nan                                                                              | NATL TAIPEI UNIV TECHNOL                                                         | NATL TAIPEI UNIV TECHNOL       |          8 |        nan |       nan | nan           | nan  | ELSEVIER SCI LTD               | THE BOULEVARD, LANGFORD LANE,  | OXFORD           | J         | Tseng CH, 2019, J CLEAN PROD, V239, DOI 10.1016/j. |       13 | Tseng CH 2019         | Asia                  | nan  | nan                   | JOURNAL OF CLEANER PRODUCTION  | J CLEAN PROD                   | J CLEAN PROD         |  nan | Eastern Asia                   | System dynamics modeling of wa | system dynamics modeling of wa | SYSTEM_DYNAMICS_MODELING of WA |   239 | Science Citation Index Expande | anaerobic; associated; busines | anaerobic; associated; busines | Science & Technology - Other T |        2 |      124 |       31 |   2019 |
| This study presents a comprehe | this study presents a comprehe | this_study_presents a COMPREHE | Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sci, Ave Del Charro 450 Col  | nan     | Engineering, Mechanical        | Ramírez, Cuauhtemoc/F-9267-2010; Garcia Alcaraz, Pedro/KEI-2894-2024; Díaz, Robe | social sustainability; lean ma | social sustainability; lean ma | social sustainability; lean ma | Díaz-Reza JR     | Jose Roberto Diaz-Reza; Jorge  | Díaz-Reza JR; García-Alcaraz J | Díaz-Reza JR; García-Alcaraz J | [Diaz-Reza, Jose Roberto] Univ Autonoma Ciudad Juarez, Dept Elect Engn & Comp Sc | Universidad Autonoma de Ciudad |  nan | nan             | in  time; addresses; ambitiou  | in  time; addresses; ambitiou  | García-Alcaraz, JL (correspond | nan                            | Mexico                         | Mexico         | MEX                | MEX               | nan             | 2026-04-25 | WoS        | MAR        | in  time; addresses; ambitiou  | in  time; addresses; ambitiou  | http://dx.doi.org/10.59038/jjm | Article                    | 10.59038/jjmie/180109          | nan      | WOS:001195877700013 | nan                            | nan                            | nan                            | nan                            | MT4Q2 | Abdul-Rashid SH, 2017, INT J O |    10 |  nan |  nan |  nan | implementation; performance; j | implementation; performance; j | implementation; performance; j | 1995-6665 | nan       | 1       | implementation; jit; lean mana | implementation; jit; lean mana | English | nan                            |     1 | comprehensive approach; impact | in  time; addresses; ambitiou  | 411 surveys; ambitious goals;  | _in _time; ambitious goals; au | lean manufacturing; social sus |        4 |      46 |     nan | Bronze                         | nan                                                                              | UNIV AUTON CIUDAD JUAREZ; [UNKNOWN]                                              | UNIV AUTON CIUDAD JUAREZ       |         18 |        113 |       130 | nan           | nan  | HASHEMITE UNIV                 | DEANSHIP ACAD RES & GRADUATE S | ZARKA            | J         | Díaz-Reza JR, 2024, JORDAN J MECH IND EN, V18, P11 |       14 | Díaz-Reza JR 2024a    | Americas              | nan  | nan                   | JORDAN JOURNAL OF MECHANICAL A | JORDAN J MECH IND ENG          | JORDAN J MECH IND EN |  nan | Latin America and The Caribbea | Assessing the impact of Lean m | assessing the impact of lean m | assessing the_impact_of LEAN_M |    18 | Emerging Sources Citation Inde | addresses; ambitious; analysis | addresses; ambitious; analysis | Engineering                    |        8 |       37 |       10 |   2024 |
| This paper presents a simulati | this paper presents a simulati | this_paper_presents a SIMULATI | Univ Manchester, Tyndall Ctr Climate Change Res, Manchester M60 1QD, Lancs, Engl | nan     | Ecology; Economics; Environmen | Shackley, Simon/N-2370-2013; Bleda, Mercedes/ISU-0902-2023                       | climate-change; dynamics of be | climate change; dynamics of be | climate-change; dynamics of be | Bleda M          | Mercedes Bleda; Simon Shackley | Bleda M; Shackley S            | Bleda M; Shackley S            | [Bleda, Mercedes; Shackley, Simon] Univ Manchester, Tyndall Ctr Climate Change R | University of Manchester; Univ |  nan | nan             | adaptive capacity; assumption; | adaptive capacity; assumption; | Bleda, M (corresponding author | nan                            | United Kingdom                 | United Kingdom | GBR                | GBR               | nan             | 2026-04-25 | WoS        | JUN 15     | actual; adaptation; adaptive;  | actual; adaptation; adaptive;  | http://dx.doi.org/10.1016/j.ec | Article                    | 10.1016/j.ecolecon.2007.10.021 | nan      | WOS:000257619400029 | Mercedes.Bleda@mbs.ac.uk; Simo | nan                            | nan                            | nan                            | 325WN | [Anonymous], 1996, CLIMATE CHA |    32 |  nan |  nan |  nan | model; cognition; inertia      | model; cognition; inertia      | model; cognition; inertia      | 0921-8009 | 1873-6106 | 2-3     | adaptive capacity; climate-cha | adaptive capacity; climate-cha | English | nan                            |     0 | simulation model; belief; clim | assumption; belief; beliefs; b | assumption; behavioral studies | assumption; behavioral studies | dynamics; belief; climate chan |        2 |      32 |     nan | nan                            | Bleda, Mercedes/0000-0002-0197-0936                                              | UNIV MANCH                                                                       | UNIV MANCH                     |         16 |        517 |       532 | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Bleda M, 2008, ECOL ECON, V66, P517, DOI 10.1016/j |       15 | Bleda M 2008          | Europe                | nan  | nan                   | ECOLOGICAL ECONOMICS           | ECOL ECON                      | ECOL ECON            |  nan | Northern Europe                | The dynamics of belief in clim | the dynamics of belief in clim | the DYNAMICS of BELIEF in CLIM |    66 | Science Citation Index Expande | actual; adaptation; adaptive;  | actual; adaptation; adaptive;  | Environmental Sciences & Ecolo |        1 |       39 |       40 |   2008 |
| Kaohsiung is the largest port  | kaohsiung is the largest port  | KAOHSIUNG is the LARGEST_PORT_ | Natl Sun Yat Sen Univ, Dept Marine Environm & Engn, 70 Lienhai Rd, Kaohsiung 804 | nan     | Oceanography; Water Resources  | ; Chang, Yang-Chi/M-8849-2016; Château, Pierre-Alexandre/K-5256-2019             | decision support system ( dss  | decision support system (dss); | decision support system ( dss  | Tan WJ           | Wen-Jui Tan; Chen-Feng Yang; P | Tan WJ; Yang CF; Château PA; L | Tan WJ; Yang CF; Château PA; L | [Tan, Wen-Jui; Yang, Chen-Feng; Chang, Yang-Chi] Natl Sun Yat Sen Univ, Dept Mar | National Sun Yat Sen Universit |  nan | nan             | abundant recreational resource | abundant recreational resource | Chang, YC (corresponding autho | nan                            | Taiwan                         | Taiwan         | TWN                | TWN               | nan             | 2026-04-25 | WoS        | MAR 1      | abundant; abundant recreationa | abundant; abundant recreationa | http://dx.doi.org/10.1016/j.oc | Article                    | 10.1016/j.ocecoaman.2017.12.01 | nan      | WOS:000424073400014 | changyc@mail.nsysu.edu.tw      | Water Resources Agency of the  | Water Resources Agency of the  | The authors gratefully acknowl | FU8AE | Alyami SH, 2013, RENEW SUST EN |    64 |  nan |  nan |  nan | information-systems; delphi; i | information-systems; delphi; i | information-systems; delphi; i | 0964-5691 | 1873-524X | nan     | decision support system ( dss  | decision support system ( dss  | English | nan                            |     0 | kaohsiung; largest port city;  | abundant recreational resource | abundant recreational resource | abundant recreational resource | coastal zone management; susta |        5 |      55 |     nan | nan                            | Lee, Meng-Tsung/0000-0003-3542-9731; Chang, Yang-Chi/0000-0002-1088-9427; Châtea | CHUNG HWA UNIV MED TECHNOL; NATL KAOHSIUNG MAR UNIV; NATL SUN YAT SEN UNIV; [UNK | NATL SUN YAT SEN UNIV          |          9 |        131 |       139 | nan           | nan  | ELSEVIER SCI LTD               | THE BOULEVARD, LANGFORD LANE,  | OXFORD           | J         | Tan WJ, 2018, OCEAN COAST MANAG, V153, P131, DOI 1 |       16 | Tan WJ 2018           | Asia                  | nan  | nan                   | OCEAN & COASTAL MANAGEMENT     | OCEAN COAST MANAG              | OCEAN COAST MANAGE   |  nan | Eastern Asia                   | Integrated coastal-zone manage | integrated coastal_zone manage | integrated COASTAL_ZONE_MANAGE |   153 | Science Citation Index Expande | abundant; accessibility; analy | abundant; accessibility; analy | Oceanography; Water Resources  |        2 |       98 |       71 |   2018 |
| To reach the Paris Agreement g | to reach the paris agreement g | to reach the PARIS_AGREEMENT_G | Riga Tech Univ, Inst Energy Syst & Environm, Riga, Latvia                        | nan     | Management; Social Sciences, I | nan                                                                              | energy and climate policy; int | energy and climate policy; int | energy and climate policy; int | Blumberga A      | Andra Blumberga                | Blumberga A                    | Blumberga A                    | [Blumberga, Andra] Riga Tech Univ, Inst Energy Syst & Environm, Riga, Latvia     | Riga Technical University      |  nan | nan             | application; assignment; borde | application; assignment; borde | Blumberga, A (corresponding au | nan                            | Latvia                         | Latvia         | LVA                | LVA               | nan             | 2026-04-25 | WoS        | NOV        | agreement; application; approa | agreement; application; approa | http://dx.doi.org/10.1002/sres | Article                    | 10.1002/sres.3074              | SEP 2024 | WOS:001317012000001 | andra.blumberga@rtu.lv         | The 'Assessment of Competences | The 'Assessment of Competences | 'Assessment of Competences of  | 1DG2H | Akenji L, 2014, J CLEAN PROD,  |     2 |  nan |  nan |  nan | serious games; life-style; gre | serious games; life-style; gre | serious games; life-style; gre | 1092-7026 | 1099-1743 | 6       | energy and climate policy; gre | energy and climate policy; gre | English | nan                            |     0 | paris agreement goals; europea | application; assignment; borde | application; assignment; borde | bright greens; climate goals;  | interactive simulation tool; n |        1 |      47 |     nan | hybrid                         | Blumberga, Andra/0000-0002-4712-4794                                             | RIGA TECH UNIV                                                                   | RIGA TECH UNIV                 |         18 |        876 |       893 | nan           | nan  | WILEY                          | 111 RIVER ST, HOBOKEN 07030-57 | HOBOKEN          | J         | Blumberga A, 2024, SYST RES BEHAV SCI, V41, P876,  |       17 | Blumberga A 2024      | Europe                | nan  | nan                   | SYSTEMS RESEARCH AND BEHAVIORA | SYST RES BEHAV SCI             | SYST RES BEHAV SCI   |  nan | Northern Europe                | Using an interactive simulatio | using an interactive simulatio | using an INTERACTIVE_SIMULATIO |    41 | Social Science Citation Index  | agreement; application; approa | agreement; application; approa | Business & Economics; Social S |        2 |        8 |        2 |   2024 |
| Prevention and health promotio | prevention and health promotio | PREVENTION_AND_HEALTH_PROMOTIO | Univ Estadual Maringa UEM, Dent Dept, Maringa, Parana, Brazil; Worcester Polytec | e017    | Dentistry, Oral Surgery & Medi | Pascotto, Renata/C-3202-2014; Terada, Raquel/E-7166-2017                         | systems analysis; dental-carie | systems analysis; dental carie | systems analysis; dental-carie | Umeda JE         | Josely Emiko Umeda; Karim Chic | Umeda JE; Chichakly K; Passos  | Umeda JE; Chichakly K; Passos  | [Umeda, Josely Emiko; Suga Terada, Raquel Sano; Pascotto, Renata Correa; Fujimak | Universidade Estadual de Marin |  nan | nan             | adulthood; applications; art;  | adulthood; applications; art;  | Fujimaki, M (corresponding aut | nan                            | Brazil; United States          | Brazil         | BRA; USA           | BRA               | nan             | 2026-04-25 | WoS        | nan        | adulthood; age; analysis; appl | adulthood; age; analysis; appl | http://dx.doi.org/10.1590/1807 | Article                    | 10.1590/1807-3107bor-2020.vol3 | nan      | WOS:000651306200001 | mfujimaki@uem.br               | Coordenacao de Aperfeicoamento | Coordenacao de Aperfeicoamento | This study was funded by grant | SD3WT | Ardenghi TM, 2008, J DENT CHIL |     4 |  nan |  nan |  nan | atraumatic restorative treatme | atraumatic restorative treatme | atraumatic restorative treatme | 1807-3107 | nan       | nan     | atraumatic restorative treatme | atraumatic restorative treatme | English | nan                            |     0 | prevention and health promotio | adulthood; applications; art;  | 112 clinical hours; 4 applicat | atraumatic restorative treatme | system dynamics modeling; toot |        6 |      34 |     nan | Green Submitted, Green Publish | Pascotto, Renata/0000-0002-8396-6016; Ferreira Passos, Guttenberg/0000-0001-8836 | UNIV ESTADUAL MAR UEM; [UNKNOWN]                                                 | UNIV ESTADUAL MAR UEM          |          8 |        nan |       nan |   3.21304e+07 | nan  | SOCIEDADE BRASILEIRA DE PESQUI | CIDADE UNIV, AV PROF LINEU PRE | SAO PAULO        | J         | Umeda JE, 2020, BRAZ ORAL RES, V34, DOI 10.1590/18 |       18 | Umeda JE 2020         | Americas              | nan  | nan                   | BRAZILIAN ORAL RESEARCH        | BRAZ ORAL RES                  | BRAZ ORAL RES        |  nan | Latin America and The Caribbea | System dynamics modeling for t | system dynamics modeling for t | SYSTEM_DYNAMICS_MODELING for T |    34 | Science Citation Index Expande | adulthood; age; analysis; appl | adulthood; age; analysis; appl | Dentistry, Oral Surgery & Medi |        0 |       10 |        5 |   2020 |
| By using the system-dynamic so | by using the system_dynamic so | by using the SYSTEM_DYNAMIC_SO | Nanjing Univ Informat Sci & Technol, Minist Educ, Key Lab Meteorol Disaster, Nan | nan     | Agronomy; Forestry             | Liu, Jianjun/F-4673-2014                                                         | ultraviolet-radiation; photosy | ultraviolet radiation; photosy | ultraviolet-radiation; photosy | Wu RJ            | Rongjun Wu; Youfei Zheng; Jian | Wu RJ; Zheng YF; Liu JJ        | Wu RJ; Zheng YF; Liu JJ        | [Wu, Rongjun; Zheng, Youfei; Liu, Jianjun] Nanjing Univ Informat Sci & Technol,  | Nanjing University of Informat |  nan | nan             | accumulated dry matter; canopy | accumulated dry matter; canopy | Zheng, YF (corresponding autho | nan                            | China                          | China          | CHN                | CHN               | nan             | 2026-04-25 | WoS        | OCT        | accumulated; accumulated dry m | accumulated; accumulated dry m | http://dx.doi.org/10.1007/s104 | Article                    | 10.1007/s10457-009-9231-0      | nan      | WOS:000269916100004 | wurj@nuist.edu.cn; zhengyf@nui | Natural Science Foundation of  | Natural Science Foundation of  | This study is supported jointl | 495SU | Aassine S, 2002, ECOL MODEL, V |     2 |  nan |  nan |  nan | ultraviolet-radiation; growth; | ultraviolet-radiation; growth; | ultraviolet-radiation; growth; | 0167-4366 | 1572-9680 | 2       | canopy; crop; growth; matter a | canopy; crop; growth; matter a | English | nan                            |     0 | system dynamic software packag | accumulated dry matter; climat | accumulated dry matter; approa | approach; climate; crop growth | dynamic simulation study; enha |        3 |      45 |     nan | nan                            | Wu, Rongjun/0000-0002-8110-5896                                                  | NANJING UNIV INFORMAT SCI & TECHNOL                                              | NANJING UNIV INFORMAT SCI & TE |          8 |        123 |       130 | nan           | nan  | SPRINGER                       | VAN GODEWIJCKSTRAAT 30, 3311 G | DORDRECHT        | J         | Wu RJ, 2009, AGROFOR SYST, V77, P123, DOI 10.1007/ |       19 | Wu RJ 2009            | Asia                  | nan  | nan                   | AGROFORESTRY SYSTEMS           | AGROFOR SYST                   | AGROFOREST SYST      |  nan | Eastern Asia                   | A dynamic simulation study of  | a dynamic simulation study of  | a DYNAMIC_SIMULATION_STUDY of  |    77 | Science Citation Index Expande | accumulated; accumulation; age | accumulated; accumulation; age | Agriculture; Forestry          |        0 |       20 |        3 |   2009 |
| BackgroundChina is currently a | backgroundchina is currently a | BACKGROUNDCHINA is currently a | Jiangxi Univ Finance & Econ, Sch Stat & Data Sci, Nanchang, Peoples R China; Hei | 1655    | Health Care Sciences & Service | nan                                                                              | total health expenditure; syst | total health expenditure; syst | total health expenditure; syst | Luo SH           | Shihua Luo; Junlai Zhang; Mark | Luo SH; Zhang JL; Heffernan M  | Luo SH; Zhang JL; Heffernan M  | [Luo, Shihua; Zhang, Junlai] Jiangxi Univ Finance & Econ, Sch Stat & Data Sci, N | Jiangxi University of Finance  |  nan | nan             | aging; aging population; allev | aging; aging population; allev | Luo, SH; Zhang, JL (correspond | nan                            | Australia; Austria; China; Ger | China          | AUS; AUT; CHN; DEU | CHN               | nan             | 2026-04-25 | WoS        | DEC 27     | aging; aging population; allev | aging; aging population; allev | http://dx.doi.org/10.1186/s129 | Article                    | 10.1186/s12913-024-12113-6     | nan      | WOS:001385152000001 | luoshihua@aliyun.com; junlai.z | Shihua Luo; Major Program of t | Shihua Luo [21ZD152]; Major Pr | Acknowledgments We would like  | Q5N7Y | Abeliansky AL, 2020, INT LABOU |     2 |  nan |  nan |  nan | life                           | life                           | life                           | nan       | 1472-6963 | 1       | china gdp forecast; efficiency | china gdp forecast; efficiency | English | nan                            |     0 | backgroundchina; turning point | aging; aging population; allev | ability; addition; aging; agin | alleviate population decline;  | forecast; total health expendi |        3 |      58 |     nan | Green Submitted, gold          | Zhang, Junlai/0000-0001-6151-6148                                                | HEIDELB UNIV; JIANGXI UNIV FINANC & ECON; UNIV HOSP; VIENNA UNIV ECON & BUS WU;  | JIANGXI UNIV FINANC & ECON     |         15 |        nan |       nan |   3.97312e+07 | nan  | BMC                            | CAMPUS, 4 CRINAN ST, LONDON N1 | LONDON           | J         | Luo SH, 2024, BMC HEAL SERV RES, V24, DOI 10.1186/ |       20 | Luo SH 2024           | Asia; Europe; Oceania | nan  | nan                   | BMC HEALTH SERVICES RESEARCH   | BMC HEAL SERV RES              | BMC HEALTH SERV RES  |  nan | Australia and New Zealand; Eas | Forecast of total health expen | forecast of total health expen | FORECAST of TOTAL_HEALTH_EXPEN |    24 | Science Citation Index Expande | aging; alleviate; analysis; ar | aging; alleviate; analysis; ar | Health Care Sciences & Service |        7 |       18 |        3 |   2024 |
